key_id,note_name,length,density
0,A0,1.5,0.015
1,A#0,1.4829,0.01364616
2,B0,1.4657,0.01241451
3,C1,1.4486,0.01129403
4,C#1,1.4314,0.01027467
5,D1,1.4143,0.00934732
6,D#1,1.3971,0.00850367
7,E1,1.38,0.00773616
8,F1,1.3628,0.00703793
9,F#1,1.3457,0.00640271
10,G1,1.3285,0.00582483
11,G#1,1.3114,0.0052991
12,A1,1.2942,0.00482083
13,A#1,1.2771,0.00438572
14,B1,1.2599,0.00398988
15,C2,1.2428,0.00362977
16,C#2,1.2256,0.00330216
17,D2,1.2085,0.00300412
18,D#2,1.1913,0.00273298
19,E2,1.1742,0.00248631
20,F2,1.157,0.00226191
21,F#2,1.1399,0.00205776
22,G2,1.1227,0.00187203
23,G#2,1.1056,0.00170307
24,A2,1.0884,0.00154936
25,A#2,1.0713,0.00140952
26,B2,1.0541,0.0012823
27,C3,1.037,0.00116657
28,C#3,1.0198,0.00106128
29,D3,1.0027,0.00096549
30,D#3,0.9855,0.00087835
31,E3,0.9684,0.00079907
32,F3,0.9512,0.00072695
33,F#3,0.9341,0.00066134
34,G3,0.9169,0.00060165
35,G#3,0.8998,0.00054735
36,A3,0.8826,0.00049795
37,A#3,0.8655,0.000453
38,B3,0.8483,0.00041212
39,C4,0.8312,0.00037492
40,C#4,0.814,0.00034108
41,D4,0.7969,0.0003103
42,D#4,0.7797,0.00028229
43,E4,0.7626,0.00025681
44,F4,0.7454,0.00023363
45,F#4,0.7283,0.00021255
46,G4,0.7111,0.00019336
47,G#4,0.694,0.00017591
48,A4,0.6768,0.00016003
49,A#4,0.6597,0.00014559
50,B4,0.6425,0.00013245
51,C5,0.6254,0.0001205
52,C#5,0.6082,0.00010962
53,D5,0.5911,9.973e-05
54,D#5,0.5739,9.073e-05
55,E5,0.5568,8.254e-05
56,F5,0.5396,7.509e-05
57,F#5,0.5225,6.831e-05
58,G5,0.5053,6.214e-05
59,G#5,0.4882,5.654e-05
60,A5,0.471,5.143e-05
61,A#5,0.4539,4.679e-05
62,B5,0.4367,4.257e-05
63,C6,0.4196,3.873e-05
64,C#6,0.4024,3.523e-05
65,D6,0.3853,3.205e-05
66,D#6,0.3681,2.916e-05
67,E6,0.351,2.653e-05
68,F6,0.3338,2.413e-05
69,F#6,0.3167,2.195e-05
70,G6,0.2995,1.997e-05
71,G#6,0.2824,1.817e-05
72,A6,0.2652,1.653e-05
73,A#6,0.2481,1.504e-05
74,B6,0.2309,1.368e-05
75,C7,0.2138,1.245e-05
76,C#7,0.1966,1.132e-05
77,D7,0.1795,1.03e-05
78,D#7,0.1623,9.37e-06
79,E7,0.1452,8.53e-06
80,F7,0.128,7.76e-06
81,F#7,0.1109,7.06e-06
82,G7,0.0937,6.42e-06
83,G#7,0.0766,5.84e-06
84,A7,0.0594,5.31e-06
85,A#7,0.0423,4.83e-06
86,B7,0.0251,4.4e-06
87,C8,0.008,4e-06
